id,date,product_id,quantity_sold
1,2023-01-01,1,26
2,2023-01-01,2,13
3,2023-01-01,3,13
4,2023-01-01,4,17
5,2023-01-01,5,16
6,2023-01-01,6,8
7,2023-01-01,7,61
8,2023-01-01,8,24
9,2023-01-01,9,27
10,2023-01-01,10,9
11,2023-01-01,11,13
12,2023-01-01,12,3
13,2023-01-01,13,7
14,2023-01-01,14,3
15,2023-01-01,15,14
16,2023-01-01,16,8
17,2023-01-01,17,9
18,2023-01-01,18,6
19,2023-01-01,19,13
20,2023-01-01,20,19
21,2023-01-01,21,5
22,2023-01-01,22,28
23,2023-01-01,23,13
24,2023-01-01,24,7
25,2023-01-01,25,15
26,2023-01-01,26,10
27,2023-01-01,27,4
28,2023-01-01,28,12
29,2023-01-01,29,12
30,2023-01-01,30,10
31,2023-01-01,31,16
32,2023-01-01,32,18
33,2023-01-01,33,16
34,2023-01-01,34,12
35,2023-01-01,35,6
36,2023-01-01,36,5
37,2023-01-01,37,8
38,2023-01-01,38,15
39,2023-01-01,39,4
40,2023-01-01,40,2
41,2023-01-01,41,21
42,2023-01-01,42,5
43,2023-01-01,43,7
44,2023-01-01,44,8
45,2023-01-01,45,2
46,2023-01-02,1,15
47,2023-01-02,2,20
48,2023-01-02,3,12
49,2023-01-02,4,21
50,2023-01-02,5,14
51,2023-01-02,6,5
52,2023-01-02,7,21
53,2023-01-02,8,23
54,2023-01-02,9,18
55,2023-01-02,10,4
56,2023-01-02,11,9
57,2023-01-02,12,1
58,2023-01-02,13,5
59,2023-01-02,14,4
60,2023-01-02,15,8
61,2023-01-02,16,2
62,2023-01-02,17,5
63,2023-01-02,18,5
64,2023-01-02,19,8
65,2023-01-02,20,15
66,2023-01-02,21,8
67,2023-01-02,22,11
68,2023-01-02,23,5
69,2023-01-02,24,8
70,2023-01-02,25,7
71,2023-01-02,26,11
72,2023-01-02,27,6
73,2023-01-02,28,13
74,2023-01-02,29,5
75,2023-01-02,30,8
76,2023-01-02,31,9
77,2023-01-02,32,13
78,2023-01-02,33,12
79,2023-01-02,34,6
80,2023-01-02,35,3
81,2023-01-02,36,9
82,2023-01-02,37,5
83,2023-01-02,38,9
84,2023-01-02,39,7
85,2023-01-02,40,6
86,2023-01-02,41,17
87,2023-01-02,42,7
88,2023-01-02,43,3
89,2023-01-02,44,4
90,2023-01-02,45,4
91,2023-01-03,1,15
92,2023-01-03,2,18
93,2023-01-03,3,8
94,2023-01-03,4,11
95,2023-01-03,5,17
96,2023-01-03,6,2
97,2023-01-03,7,37
98,2023-01-03,8,17
99,2023-01-03,9,33
100,2023-01-03,10,10
101,2023-01-03,11,5
102,2023-01-03,12,2
103,2023-01-03,13,3
104,2023-01-03,14,4
105,2023-01-03,15,4
106,2023-01-03,16,4
107,2023-01-03,17,4
108,2023-01-03,18,7
109,2023-01-03,19,7
110,2023-01-03,20,14
111,2023-01-03,21,4
112,2023-01-03,22,16
113,2023-01-03,23,9
114,2023-01-03,24,6
115,2023-01-03,25,12
116,2023-01-03,26,5
117,2023-01-03,27,2
118,2023-01-03,28,7
119,2023-01-03,29,8
120,2023-01-03,30,11
121,2023-01-03,31,16
122,2023-01-03,32,12
123,2023-01-03,33,5
124,2023-01-03,34,13
125,2023-01-03,35,7
126,2023-01-03,36,6
127,2023-01-03,37,7
128,2023-01-03,38,10
129,2023-01-03,39,7
130,2023-01-03,40,3
131,2023-01-03,41,21
132,2023-01-03,42,3
133,2023-01-03,43,4
134,2023-01-03,44,6
135,2023-01-03,45,1
136,2023-01-04,1,23
137,2023-01-04,2,12
138,2023-01-04,3,10
139,2023-01-04,4,13
140,2023-01-04,5,21
141,2023-01-04,6,5
142,2023-01-04,7,37
143,2023-01-04,8,18
144,2023-01-04,9,23
145,2023-01-04,10,5
146,2023-01-04,11,6
147,2023-01-04,12,5
148,2023-01-04,13,5
149,2023-01-04,14,3
150,2023-01-04,15,8
151,2023-01-04,16,5
152,2023-01-04,17,2
153,2023-01-04,18,4
154,2023-01-04,19,5
155,2023-01-04,20,16
156,2023-01-04,21,6
157,2023-01-04,22,13
158,2023-01-04,23,4
159,2023-01-04,24,7
160,2023-01-04,25,12
161,2023-01-04,26,7
162,2023-01-04,27,5
163,2023-01-04,28,9
164,2023-01-04,29,6
165,2023-01-04,30,6
166,2023-01-04,31,15
167,2023-01-04,32,13
168,2023-01-04,33,7
169,2023-01-04,34,9
170,2023-01-04,35,5
171,2023-01-04,36,5
172,2023-01-04,37,5
173,2023-01-04,38,8
174,2023-01-04,39,10
175,2023-01-04,40,4
176,2023-01-04,41,15
177,2023-01-04,42,2
178,2023-01-04,43,9
179,2023-01-04,44,2
180,2023-01-05,1,19
181,2023-01-05,2,16
182,2023-01-05,3,8
183,2023-01-05,4,16
184,2023-01-05,5,18
185,2023-01-05,6,4
186,2023-01-05,7,24
187,2023-01-05,8,16
188,2023-01-05,9,30
189,2023-01-05,10,11
190,2023-01-05,11,3
191,2023-01-05,12,7
192,2023-01-05,13,5
193,2023-01-05,14,4
194,2023-01-05,15,10
195,2023-01-05,16,5
196,2023-01-05,17,5
197,2023-01-05,18,16
198,2023-01-05,19,7
199,2023-01-05,20,14
200,2023-01-05,21,8
201,2023-01-05,22,21
202,2023-01-05,23,10
203,2023-01-05,24,8
204,2023-01-05,25,13
205,2023-01-05,26,4
206,2023-01-05,27,5
207,2023-01-05,28,9
208,2023-01-05,29,18
209,2023-01-05,30,8
210,2023-01-05,31,16
211,2023-01-05,32,16
212,2023-01-05,33,13
213,2023-01-05,34,6
214,2023-01-05,35,5
215,2023-01-05,36,6
216,2023-01-05,37,3
217,2023-01-05,38,7
218,2023-01-05,39,4
219,2023-01-05,40,2
220,2023-01-05,41,21
221,2023-01-05,42,2
222,2023-01-05,43,3
223,2023-01-05,44,2
224,2023-01-05,45,4
225,2023-01-06,1,21
226,2023-01-06,2,19
227,2023-01-06,3,7
228,2023-01-06,4,11
229,2023-01-06,5,17
230,2023-01-06,6,3
231,2023-01-06,7,39
232,2023-01-06,8,21
233,2023-01-06,9,24
234,2023-01-06,10,9
235,2023-01-06,11,8
236,2023-01-06,12,5
237,2023-01-06,13,7
238,2023-01-06,14,3
239,2023-01-06,15,7
240,2023-01-06,16,6
241,2023-01-06,17,3
242,2023-01-06,18,9
243,2023-01-06,19,4
244,2023-01-06,20,13
245,2023-01-06,21,3
246,2023-01-06,22,19
247,2023-01-06,23,8
248,2023-01-06,24,7
249,2023-01-06,25,13
250,2023-01-06,26,7
251,2023-01-06,27,6
252,2023-01-06,28,16
253,2023-01-06,29,9
254,2023-01-06,30,9
255,2023-01-06,31,14
256,2023-01-06,32,15
257,2023-01-06,33,10
258,2023-01-06,34,3
259,2023-01-06,35,7
260,2023-01-06,36,6
261,2023-01-06,37,5
262,2023-01-06,38,6
263,2023-01-06,39,9
264,2023-01-06,40,6
265,2023-01-06,41,16
266,2023-01-06,42,4
267,2023-01-06,43,6
268,2023-01-06,44,1
269,2023-01-06,45,3
270,2023-01-07,1,21
271,2023-01-07,2,12
272,2023-01-07,3,11
273,2023-01-07,4,16
274,2023-01-07,5,14
275,2023-01-07,6,6
276,2023-01-07,7,48
277,2023-01-07,8,15
278,2023-01-07,9,23
279,2023-01-07,10,13
280,2023-01-07,11,8
281,2023-01-07,12,10
282,2023-01-07,13,8
283,2023-01-07,14,3
284,2023-01-07,15,17
285,2023-01-07,16,11
286,2023-01-07,17,9
287,2023-01-07,18,14
288,2023-01-07,19,10
289,2023-01-07,20,30
290,2023-01-07,21,7
291,2023-01-07,22,25
292,2023-01-07,23,9
293,2023-01-07,24,7
294,2023-01-07,25,10
295,2023-01-07,26,8
296,2023-01-07,27,6
297,2023-01-07,28,11
298,2023-01-07,29,18
299,2023-01-07,30,12
300,2023-01-07,31,23
301,2023-01-07,32,15
302,2023-01-07,33,22
303,2023-01-07,34,6
304,2023-01-07,35,9
305,2023-01-07,36,11
306,2023-01-07,37,8
307,2023-01-07,38,6
308,2023-01-07,39,4
309,2023-01-07,40,6
310,2023-01-07,41,30
311,2023-01-07,42,1
312,2023-01-07,43,6
313,2023-01-07,44,5
314,2023-01-07,45,6
315,2023-01-08,1,27
316,2023-01-08,2,12
317,2023-01-08,3,18
318,2023-01-08,4,12
319,2023-01-08,5,20
320,2023-01-08,6,11
321,2023-01-08,7,60
322,2023-01-08,8,30
323,2023-01-08,9,39
324,2023-01-08,10,7
