transaction_id,product_id,date,quantity,note,expiry_date
1,1,2023-01-01,252,Stok girişi,2023-01-31
2,1,2023-01-08,200,Stok girişi,2023-02-07
3,1,2023-01-14,202,Stok girişi,2023-02-13
4,1,2023-01-23,252,Stok girişi,2023-02-22
5,1,2023-01-30,205,Stok girişi,2023-03-01
6,1,2023-02-08,238,Stok girişi,2023-03-10
7,1,2023-02-15,195,Stok girişi,2023-03-17
8,1,2023-02-24,239,Stok girişi,2023-03-26
9,1,2023-03-03,223,Stok girişi,2023-04-02
10,1,2023-03-12,241,Stok girişi,2023-04-11
11,1,2023-03-20,206,Stok girişi,2023-04-19
12,1,2023-03-29,186,Stok girişi,2023-04-28
13,1,2023-04-05,182,Stok girişi,2023-05-05
14,1,2023-04-11,215,Stok girişi,2023-05-11
15,1,2023-04-18,215,Stok girişi,2023-05-18
16,1,2023-04-24,182,Stok girişi,2023-05-24
17,1,2023-04-30,192,Stok girişi,2023-05-30
18,1,2023-05-06,209,Stok girişi,2023-06-05
19,1,2023-05-12,189,Stok girişi,2023-06-11
20,1,2023-05-20,198,Stok girişi,2023-06-19
21,1,2023-05-27,191,Stok girişi,2023-06-26
22,1,2023-06-05,174,Stok girişi,2023-07-05
23,1,2023-06-14,206,Stok girişi,2023-07-14
24,1,2023-06-21,165,Stok girişi,2023-07-21
25,1,2023-06-30,180,Stok girişi,2023-07-30
26,1,2023-07-09,166,Stok girişi,2023-08-08
27,1,2023-07-15,176,Stok girişi,2023-08-14
28,1,2023-07-21,145,Stok girişi,2023-08-20
29,1,2023-07-29,183,Stok girişi,2023-08-28
30,1,2023-08-04,155,Stok girişi,2023-09-03
31,1,2023-08-11,169,Stok girişi,2023-09-10
32,1,2023-08-18,164,Stok girişi,2023-09-17
33,1,2023-08-26,166,Stok girişi,2023-09-25
34,1,2023-09-01,185,Stok girişi,2023-10-01
35,1,2023-09-07,163,Stok girişi,2023-10-07
36,1,2023-09-13,215,Stok girişi,2023-10-13
37,1,2023-09-20,170,Stok girişi,2023-10-20
38,1,2023-09-29,187,Stok girişi,2023-10-29
39,1,2023-10-08,235,Stok girişi,2023-11-07
40,1,2023-10-15,202,Stok girişi,2023-11-14
41,1,2023-10-24,195,Stok girişi,2023-11-23
42,1,2023-11-02,216,Stok girişi,2023-12-02
43,1,2023-11-11,207,Stok girişi,2023-12-11
44,1,2023-11-19,211,Stok girişi,2023-12-19
45,1,2023-11-25,236,Stok girişi,2023-12-25
46,1,2023-12-01,270,Stok girişi,2023-12-31
47,1,2023-12-07,217,Stok girişi,2024-01-06
